frame,lw_x,lw_y,rw_x,rw_y,objects_detected,objects_list,lw_dist,rw_dist,raw_movement,smoothed_exertion,is_moving,is_working,objects_nearby
1,317.0,501.0,315.0,512.0,1,Hardhat,0.0,0.0,0.0,0.0,False,False,True
2,317.0,501.0,315.0,512.0,1,Hardhat,0.0,0.0,0.0,2.6636660595502057,False,True,True
3,317.0,501.0,315.0,512.0,1,Hardhat,0.0,0.0,0.0,2.923903890824622,False,True,True
4,317.0,501.0,315.0,512.0,1,Hardhat,0.0,0.0,0.0,2.7758785041178333,False,True,True
5,317.0,501.0,315.0,512.0,1,Hardhat,0.0,0.0,0.0,2.654897054165347,False,True,True
6,317.0,501.0,315.0,512.0,1,Hardhat,0.0,0.0,0.0,2.9217243427304402,False,True,True
7,317.0,501.0,315.0,512.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,2.1176785714285713,False,True,True
8,317.0,501.0,315.0,512.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,1.611798780487805,False,False,True
9,317.0,501.0,315.0,512.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,1.4031065885334177,False,False,True
10,317.0,501.0,315.0,512.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,1.0880701615457713,False,False,True
11,317.0,501.0,315.0,512.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,0.9808920652518214,False,False,True
12,317.0,501.0,315.0,512.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,0.9085666772252138,False,False,True
13,317.0,501.0,315.0,512.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,0.9491213968957872,False,False,True
14,317.0,501.0,315.0,512.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,0.8020351599619893,False,False,True
15,317.0,501.0,315.0,512.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,0.8669828951536269,False,False,True
16,317.0,501.0,315.0,512.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,1.348228935698448,False,False,True
17,317.0,501.0,315.0,512.0,0,,0.0,0.0,0.0,3.2596875989863796,False,True,True
18,317.0,501.0,315.0,512.0,0,,0.0,0.0,0.0,9.510426829268294,False,True,True
19,317.0,501.0,315.0,512.0,0,,0.0,0.0,0.0,22.89228025023757,False,True,True
20,317.0,501.0,315.0,512.0,1,Hardhat,0.0,0.0,0.0,28.989044187519802,False,True,True
21,317.0,501.0,315.0,512.0,0,,0.0,0.0,0.0,33.41868981628128,False,True,True
22,317.0,501.0,315.0,512.0,0,,0.0,0.0,0.0,35.24480361102312,False,True,True
23,317.0,501.0,315.0,512.0,1,Hardhat,0.0,0.0,0.0,33.58699477351916,False,True,True
24,317.0,501.0,315.0,512.0,1,Hardhat,0.0,0.0,0.0,23.326536268609438,False,True,True
25,317.0,501.0,315.0,512.0,1,Hardhat,0.0,0.0,0.0,17.960442271143492,False,True,True
26,317.0,501.0,315.0,512.0,1,Hardhat,0.0,0.0,0.0,13.913383750395946,False,True,True
27,317.0,501.0,315.0,512.0,1,Hardhat,0.0,0.0,0.0,10.396702169781438,False,True,True
28,317.0,501.0,315.0,512.0,1,Hardhat,0.0,0.0,0.0,7.37368229331644,False,True,True
29,317.0,501.0,315.0,512.0,1,Hardhat,0.0,0.0,0.0,6.106446784922395,False,True,True
