frame,lw_x,lw_y,rw_x,rw_y,objects_detected,objects_list,lw_dist,rw_dist,raw_movement,smoothed_exertion,is_moving,is_working,objects_nearby
1,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,0.0,False,False,False
2,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,11.18935546875,False,True,False
3,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,14.598751085069443,False,True,False
4,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,14.03929443359375,False,True,False
5,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,18.027013020833333,False,True,False
6,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,24.821358072916667,False,True,False
7,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,26.580158854166665,False,True,False
8,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,26.965790364583334,False,True,False
9,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,35.18077604166667,False,True,False
10,607.0,110.0,446.0,434.0,1,Hardhat,0.0,0.0,0.0,33.103328776041664,False,True,True
11,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,38.06336263020833,False,True,True
12,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,46.392326171875,False,True,True
13,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,49.400375651041664,False,True,True
14,607.0,110.0,446.0,434.0,1,Hardhat,0.0,0.0,0.0,49.64183072916667,False,True,True
15,607.0,110.0,446.0,434.0,1,Hardhat,0.0,0.0,0.0,52.54466276041667,False,True,True
16,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,44.73549479166666,False,True,True
17,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,33.525818359375,False,True,True
18,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,29.37684049479167,False,True,True
19,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,19.705314453125002,False,True,True
20,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,16.7822578125,False,True,True
21,607.0,110.0,446.0,434.0,0,,0.0,0.0,0.0,20.028348958333332,False,True,True
