frame,lw_x,lw_y,rw_x,rw_y,objects_detected,objects_list,lw_dist,rw_dist,raw_movement,smoothed_exertion,is_moving,is_working,objects_nearby
1,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,0.0,False,False,False
2,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,4.966396484375,False,True,False
3,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,6.491066623263889,False,True,False
4,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,6.936399739583333,False,True,False
5,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,6.795764973958333,False,True,False
6,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,7.70240625,False,True,False
7,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,6.271872395833333,False,True,False
8,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,5.243763671875,False,True,False
9,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,4.226792317708333,False,True,False
10,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,3.6126920572916665,False,True,False
11,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,3.2252259114583333,False,True,False
12,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,3.0337617187499997,False,True,False
13,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.646034505208333,False,True,False
14,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.495981119791667,False,True,False
15,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.1766484375,False,True,False
16,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,1.9525403645833332,False,False,False
17,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,1.8730305989583331,False,False,False
18,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,1.5708561197916668,False,False,False
19,494.0,245.0,485.0,81.0,1,Hardhat,0.0,0.0,0.0,1.249545572916667,False,False,True
20,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,1.24198046875,False,False,True
21,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,1.3272265625000002,False,False,True
22,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,1.3984140625,False,False,True
23,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,1.6190091145833336,False,False,True
24,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,1.6933053385416668,False,False,True
25,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,1.7001484375,False,False,True
26,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,1.795765625,False,False,True
27,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,1.7237955729166667,False,False,True
28,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,1.5646171875000001,False,False,True
29,494.0,245.0,485.0,81.0,1,Hardhat,0.0,0.0,0.0,1.5795631510416668,False,False,True
30,494.0,245.0,485.0,81.0,1,Hardhat,0.0,0.0,0.0,1.61660546875,False,False,True
31,494.0,245.0,485.0,81.0,1,Hardhat,0.0,0.0,0.0,1.6791874999999998,False,False,True
32,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.0236009114583333,False,True,True
33,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.113791015625,False,True,True
34,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.3193411458333335,False,True,True
35,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.3567591145833333,False,True,True
36,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.351321614583333,False,True,True
37,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.1449921875,False,True,True
38,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.165651041666666,False,True,True
39,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.34462109375,False,True,True
40,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.437856770833333,False,True,True
41,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.2504661458333333,False,True,True
42,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.0856380208333336,False,True,True
43,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.302304036458333,False,True,True
44,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.0799368489583334,False,True,True
45,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.40751953125,False,True,True
46,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.575180989583333,False,True,True
47,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.9923333333333333,False,True,True
48,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.6422890625,False,True,True
49,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.5127721354166668,False,True,True
50,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.165072265625,False,True,True
51,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.171681640625,False,True,True
52,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,1.9918098958333335,False,False,True
53,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.132541015625,False,True,True
54,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.0395384114583335,False,True,True
55,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,2.0042884114583335,False,True,True
56,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,1.8073053385416666,False,False,False
57,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,1.7657180989583334,False,False,False
58,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,1.9939270833333331,False,False,False
59,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,4.217693359375,False,True,False
60,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,6.506600911458333,False,True,False
61,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,9.21005859375,False,True,False
62,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,10.556831380208333,False,True,False
63,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,11.0186875,False,True,False
64,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,9.006893880208334,False,True,False
65,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,8.071123697916667,False,True,False
66,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,6.355591796875001,False,True,False
67,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,5.9921484375,False,True,False
68,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,5.470865234374999,False,True,False
69,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,5.789235677083333,False,True,False
70,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,5.248162109375,False,True,False
71,494.0,245.0,485.0,81.0,0,,0.0,0.0,0.0,4.46437890625,False,True,False
