frame,lw_x,lw_y,rw_x,rw_y,objects_detected,objects_list,lw_dist,rw_dist,raw_movement,smoothed_exertion,is_moving,is_working,objects_nearby
1,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,0.0,False,False,False
2,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,9.82053076496674,False,True,False
3,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,17.536019163763065,False,True,False
4,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,19.720987587108013,False,True,False
5,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,21.18622505543237,False,True,False
6,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,25.428773360785556,False,True,False
7,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,26.428320795058596,False,True,False
8,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,22.172229569211275,False,True,False
9,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,20.12451813430472,False,True,False
10,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,15.925957396262273,False,True,False
11,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,15.404874881216344,False,True,False
12,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,11.639781834019638,False,True,False
13,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,13.840359122584733,False,True,False
14,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,14.435096214760847,False,True,False
15,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,18.232355479885967,False,True,False
16,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,17.727966819765598,False,True,False
17,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,20.34633592017738,False,True,False
18,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,20.695479490022173,False,True,False
19,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,21.630694884383907,False,True,False
20,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,21.7236217136522,False,True,False
21,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,22.669409645232815,False,True,False
22,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,21.440391590117198,False,True,False
23,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,20.933986379474185,False,True,False
24,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,20.069132879315806,False,True,False
25,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,22.100161941716816,False,True,False
26,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,26.32196784922395,False,True,False
27,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,30.311396499841624,False,True,False
28,465.0,232.0,54.0,501.0,1,Hardhat,0.0,0.0,0.0,33.98931343047197,False,True,True
29,465.0,232.0,54.0,501.0,1,Hardhat,0.0,0.0,0.0,36.77469195438708,False,True,True
30,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,42.049878444726005,False,True,True
31,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,38.92458544504276,False,True,True
32,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,36.49036229014888,False,True,True
33,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,35.09343403547672,False,True,True
34,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,35.69184154260374,False,True,True
35,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,28.69802383592018,False,True,True
36,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,28.169745011086473,False,True,True
37,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,26.7867433481153,False,True,True
38,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,22.712122267975925,False,True,True
39,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,17.28417445359519,False,True,True
40,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,13.985555907507129,False,True,True
41,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,11.672479014887552,False,True,True
42,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,12.881101916376306,False,True,True
43,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,12.807225213810579,False,True,True
44,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,14.92907903072537,False,True,True
45,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,14.420171048463732,False,True,True
46,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,15.049897846056382,False,True,True
47,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,15.362718561925877,False,True,True
48,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,17.036520430788723,False,True,True
49,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,18.63479292049414,False,True,True
50,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,23.884912496040545,False,True,True
51,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,28.627777161862525,False,True,True
52,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,33.61926235350016,False,True,True
53,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,37.72807412100095,False,True,True
54,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,38.54545375356351,False,True,False
55,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,38.125696864111504,False,True,False
56,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,37.03584811529934,False,True,False
57,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,34.78201179917643,False,True,False
58,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,32.643269718086785,False,True,False
59,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,34.030652914159006,False,True,False
60,465.0,232.0,54.0,501.0,1,Hardhat,0.0,0.0,0.0,32.82982815964523,False,True,True
61,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,31.85290465631929,False,True,True
62,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,28.753092334494774,False,True,True
63,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,26.84433283180234,False,True,True
64,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,25.10983013937282,False,True,True
65,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,23.038498178650617,False,True,True
66,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,21.45169583465315,False,True,True
67,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,22.441804719670575,False,True,True
68,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,22.070260136205256,False,True,True
69,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,19.31112408932531,False,True,True
70,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,20.169206525182133,False,True,True
71,465.0,232.0,54.0,501.0,0,,0.0,0.0,0.0,20.233555986696228,False,True,True
